Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Pustulibacterium	marinum	E403	Pustulibacterium marinum	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Cyclobacterium	caenipelagi	HD-17	Cyclobacterium caenipelagi	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Halopelagius	longus	BC12-B1	Halopelagius longus	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA
Lactobacillus	shenzhenensis	LY-73	Lactobacillus shenzhenensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hwangdonia	seohaensis	HD-3	Hwangdonia seohaensis	yes	yes	yes	yes	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Flavobacterium	yanchengense	hg	Flavobacterium yanchengense	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Loktanella	atrilutea	IG8T	Loktanella atrilutea	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Melghirimyces	profundicolus	SCSIO 11153	Melghirimyces profundicolus	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Georgenia	sediminis	SCSIO 15020	Georgenia sediminis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Dyella	kyungheensis	THG-B117	Dyella kyungheensis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Litoreibacter	halocynthiae	P-MA1-7	Litoreibacter halocynthiae	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Luteimonas	huabeiensis	HB2	Luteimonas huabeiensis	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Azospirillum	fermentarium	CC-LY743	Azospirillum fermentarium	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Halovivax	asiasticus	EJ-46	Halovivax asiasticus	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	yes
